key,multi_pairs,occurrences,avg_parts
dispensing,3,6,3.33
note:en,6,6,2.0
brewery:pils,6,6,2.0
it:type,6,6,3.5
sales,6,6,2.83
fvst:name,6,6,2.0
direction_south:distance,6,6,3.67
source:maxstay,1,6,2.0
opening_hours:staffed,6,6,2.33
opening_hours:sales,6,6,2.33
restaurant,2,6,2.0
destination:lang:ga,6,6,2.0
destination:bicycle,3,6,2.0
destination_place,5,6,2.8
operator:en,5,6,2.4
wine:region,6,6,3.67
isced:2011:level,4,6,2.25
inscription:readability,3,6,2.0
health_specialty,4,6,2.75
schedule,6,6,2.5
ref:athensclarkeaddress,6,6,2.17
description_2,6,6,4.33
source:female,1,6,2.0
levels,3,6,2.67
association,6,6,2.33
roof:colour,6,6,2.0
payment:surcharge:conditional,2,6,2.0
opening_hours:cafe,6,6,2.0
language:information,2,6,2.5
veterinary:speciality,5,6,4.4
internet_access:fee,5,6,2.0
cuisine:fr,5,6,3.0
boat,2,6,2.0
description:no,6,6,3.67
parking:fee:conditional,3,6,2.0
light:direction,2,6,2.0
towards,4,6,2.0
source:postcode,5,6,2.0
seamark:beacon_special_purpose:colour,3,6,2.33
description:nl,6,6,2.33
lacounty:bld_id,6,6,2.0
old_brand,6,6,2.33
HE_ref,6,6,2.0
source:male,1,6,2.0
species:de,4,6,2.75
nudism:conditional,6,6,2.83
artwork_subject:wikidata,6,6,2.83
direction_southwest:osmc:symbol,6,6,5.17
inscription:fr,6,6,2.67
toilets:disposal,6,6,2.17
opening_hours:it,6,6,2.5
piste:grooming,1,6,2.0
