key_group,distinct_keys,n,pair_share
speech_output,1,4223,0.0
naptan:*,26,4211,0.0
cycle_network,1,4187,0.0
species:*,39,4141,0.0
access:*,78,4138,0.0
company,1,4133,0.0
count,1,4097,0.0
preschool,1,4090,0.0
owner:*,39,4029,0.0
drought_prone,1,4022,0.0
status,1,4021,0.0
leaf_type,1,4010,0.0
traffic_sign,1,3979,0.0
wholesale,1,3823,0.0
operational_status_quality,1,3812,0.0
static_caravans,1,3805,0.0
mineral,1,3801,0.0
telegram,1,3798,0.0
electricity,1,3785,0.0
polling_station,1,3782,0.0
motor_vehicle,1,3766,0.0
IJSN:*,6,3756,0.0
manufacturer:*,22,3737,0.0
mml:*,2,3716,0.0
place_of_worship,1,3704,0.0
subject,1,3701,0.0
climbing:*,62,3686,0.0
millennium:*,4,3669,0.0
landuse,1,3668,0.0
pump:*,10,3634,0.0
sides,1,3630,0.0
consulate,1,3616,0.0
route_marker,1,3593,0.0
cargo_bike,1,3592,0.0
place:*,26,3568,0.0
motorhome,1,3563,0.0
operator_type,1,3546,0.0
permanent_camping,1,3500,0.0
arivac:*,3,3491,0.0
delivery:*,62,3484,0.0
old_ref,1,3484,0.0
cash_withdrawal,1,3478,0.0
emergency:*,32,3465,0.0
OGD-Stmk:*,2,3427,0.0
garden:*,3,3418,0.0
cityracks.street,1,3408,0.0
cityracks.rackid,1,3408,0.0
cityracks.housenum,1,3407,0.0
cityracks.large,1,3406,0.0
cityracks.small,1,3406,0.0
population:*,10,3391,0.0
maxheight:*,14,3338,0.0
nrhp:*,3,3334,0.0
worship,1,3320,0.0
wifi,1,3283,0.0
cuisine:*,59,3277,0.0
direction_south:*,24,3259,0.0
year,1,3242,0.0
loading_dock,1,3238,0.0
screen,1,3223,0.0
theatre:*,6,3217,0.0
cafe,1,3208,0.0
operational_status:*,4,3184,0.0
local_ref,1,3175,0.0
impromptu,1,3162,0.0
blind,1,3132,0.0
unsigned_ref,1,3130,0.0
shop:*,250,3128,0.0
tickets:*,38,3109,0.0
bath:*,9,3102,0.0
direction_north:*,23,3095,0.0
route_ref,1,3090,0.0
cash_out:*,3,3040,0.0
books,1,3040,0.0
gambling,1,3040,0.0
moved,1,3032,0.0
cash_in:*,5,3030,0.0
breakfast,1,3021,0.0
waste_basket:*,11,3010,0.0
money_transfer,1,3005,0.0
hoops,1,3005,0.0
direction_east:*,26,2995,0.0
source_date,1,2988,0.0
manufacture_date,1,2983,0.0
hgv:*,9,2962,0.0
training,1,2956,0.0
snowmobile,1,2954,0.0
insurance,1,2948,0.0
sector:*,5,2944,0.0
symbol,1,2940,0.0
lottery,1,2939,0.0
direction_northeast:*,24,2936,0.0
information:*,31,2933,0.0
direction_west:*,30,2932,0.0
lgbtq,1,2914,0.0
diameter,1,2883,0.0
lcn,1,2867,0.0
boundary_name,1,2862,0.0
shape,1,2858,0.0
